DateTime,AVGPD/A001W,DOMPD/A001W,WVHGT/A001W,WWHGT/A001W,WWPD/A001W,,,,,,,
03/21/2016 1740,5.57,9.09,2.71,2.24,6.7,,,,,,,
03/21/2016 1840,5.9,7.69,3.34,3.04,7.7,,,,,,,
03/21/2016 1940,5.92,8.33,3.4,3.06,8.3,,,,,,,
03/21/2016 2040,5.85,7.14,3.1,2.45,7.1,,,,,,,
03/21/2016 2140,6.17,8.33,3.35,2.31,5.3,,,,,,,
03/21/2016 2240,5.92,9.09,3.04,2.07,5.9,,,,,,,
03/21/2016 2340,5.89,8.33,2.98,1.75,6.2,,,,,,,
03/22/2016 0040,5.67,8.33,2.77,1.98,5.9,,,,,,,
03/22/2016 0140,5.6,8.33,2.63,1.74,4.8,,,,,,,
03/22/2016 0240,5.78,9.09,2.66,2.04,6.2,,,,,,,
03/22/2016 0340,5.78,8.33,2.69,2.15,5.9,,,,,,,
03/22/2016 0440,5.59,8.33,2.73,2.03,7.1,,,,,,,
03/22/2016 0540,5.71,7.69,2.53,2.53,7.7,,,,,,,
03/22/2016 0640,5.51,8.33,2.31,2.31,8.3,,,,,,,
03/22/2016 0740,5.94,9.09,2.42,1.69,5.6,,,,,,,
03/22/2016 0840,5.76,7.69,2.43,1.61,6.2,,,,,,,
03/22/2016 0940,5.86,8.33,2.39,1.73,4.5,,,,,,,
03/22/2016 1040,5.47,8.33,2.07,1.5,5.3,,,,,,,
03/22/2016 1140,5.51,7.69,2.03,1.61,6.7,,,,,,,
03/22/2016 1240,5.51,8.33,1.9,1.25,5.6,,,,,,,
03/22/2016 1340,5.48,9.09,1.81,0.98,5,,,,,,,
03/22/2016 1440,5.53,9.09,1.86,0.91,5,,,,,,,
03/22/2016 1540,5.65,9.09,1.84,1,5.3,,,,,,,
03/22/2016 1640,5.68,9.09,1.75,0.7,3.8,,,,,,,
03/22/2016 1740,5.82,8.33,1.73,0.55,4,,,,,,,
03/22/2016 1840,5.89,8.33,1.68,0.49,4,,,,,,,
03/22/2016 1940,5.64,8.33,1.46,0.48,4,,,,,,,
03/22/2016 2040,5.67,8.33,1.49,0.48,3.7,,,,,,,
03/22/2016 2140,5.52,10,1.41,0.48,3.7,,,,,,,
03/22/2016 2240,5.87,9.09,1.3,0.38,3.8,,,,,,,
03/22/2016 2340,5.69,8.33,1.26,0.75,5,,,,,,,
03/23/2016 0040,5.28,5.56,1.16,0.86,5.6,,,,,,,
03/23/2016 0140,4.86,9.09,1.15,0.88,5.6,,,,,,,
03/23/2016 0240,4.75,8.33,1.16,0.95,5.9,,,,,,,
03/23/2016 0340,4.64,9.09,1.21,1.03,4.8,,,,,,,
03/23/2016 0440,4.59,4.55,1.33,1.22,4.5,,,,,,,
03/23/2016 0540,4.56,5,1.46,1.36,5,,,,,,,
03/23/2016 0640,4.5,5,1.45,1.37,5,,,,,,,
03/23/2016 0740,4.58,5.26,1.51,1.49,5.3,,,,,,,
03/23/2016 0840,4.67,5.26,1.59,1.55,5.3,,,,,,,
03/23/2016 0940,4.76,5.56,1.63,1.6,5.6,,,,,,,
03/23/2016 1040,5.01,5.88,1.94,1.91,5.9,,,,,,,
03/23/2016 1140,5.35,6.25,2.17,2.16,6.2,,,,,,,
03/23/2016 1240,5.26,7.14,1.97,1.96,7.1,,,,,,,
03/23/2016 1340,5.35,7.14,1.97,1.97,7.1,,,,,,,
03/23/2016 1440,5.5,6.67,2.08,2.08,6.7,,,,,,,
03/23/2016 1540,5.56,6.67,2.18,2.18,6.7,,,,,,,
03/23/2016 1640,5.58,7.14,2.17,2.17,7.1,,,,,,,
03/23/2016 1740,5.79,7.69,2.37,2.37,7.7,,,,,,,
03/23/2016 1840,5.76,7.69,2.32,2.32,7.7,,,,,,,
03/23/2016 1940,5.95,7.69,2.63,2.62,7.7,,,,,,,
03/23/2016 2040,5.76,8.33,2.52,2.5,8.3,,,,,,,
03/23/2016 2140,5.71,7.69,2.42,2.42,7.7,,,,,,,
03/23/2016 2240,5.77,7.69,2.48,2.48,7.7,,,,,,,
03/23/2016 2340,5.76,8.33,2.33,2.33,8.3,,,,,,,
03/24/2016 0040,5.91,7.14,2.43,2.43,7.1,,,,,,,
03/24/2016 0140,6.25,7.69,2.55,2.55,7.7,,,,,,,
03/24/2016 0240,6.22,7.69,2.66,2.65,7.7,,,,,,,
03/24/2016 0340,6.22,8.33,2.38,2.38,8.3,,,,,,,
03/24/2016 0440,5.98,8.33,2.38,2.38,8.3,,,,,,,
03/24/2016 0540,5.92,7.14,2.16,2.16,7.1,,,,,,,
03/24/2016 0640,5.98,7.69,2.23,2.23,7.7,,,,,,,
03/24/2016 0740,5.71,7.14,2.04,1.93,7.1,,,,,,,
03/24/2016 0840,5.61,6.67,1.91,1.91,6.7,,,,,,,
03/24/2016 0940,5.88,7.14,2.09,1.82,7.1,,,,,,,
03/24/2016 1040,5.62,6.67,1.85,1.85,6.7,,,,,,,
03/24/2016 1140,5.58,7.14,1.71,1.7,7.1,,,,,,,
03/24/2016 1240,5.62,7.14,1.79,1.74,7.1,,,,,,,
03/24/2016 1340,5.46,7.14,1.66,1.58,7.1,,,,,,,
03/24/2016 1440,5.27,6.25,1.58,1.55,6.2,,,,,,,
03/24/2016 1540,5.35,6.67,1.62,1.6,6.7,,,,,,,
03/24/2016 1640,5.2,6.67,1.57,1.56,6.7,,,,,,,
03/24/2016 1740,5.22,6.25,1.56,1.55,6.2,,,,,,,
03/24/2016 1840,5.34,6.67,1.61,1.61,6.7,,,,,,,
03/24/2016 1940,5.27,6.25,1.74,1.73,6.2,,,,,,,
03/24/2016 2040,5.25,5.88,1.66,1.65,5.9,,,,,,,
03/24/2016 2140,5.21,5.88,1.61,1.59,5.9,,,,,,,
03/24/2016 2240,5.11,5.88,1.44,1.44,5.9,,,,,,,
03/24/2016 2340,5.04,5.88,1.39,1.37,5.9,,,,,,,
03/25/2016 0040,5.09,5.88,1.63,1.62,5.9,,,,,,,
03/25/2016 0140,5.18,5.88,1.75,1.74,5.9,,,,,,,
03/25/2016 0240,5.48,6.25,2.16,2.16,6.2,,,,,,,
03/25/2016 0340,5.62,6.67,2.16,2.15,6.7,,,,,,,
03/25/2016 0440,5.69,6.67,2.24,2.23,6.7,,,,,,,
03/25/2016 0540,5.73,6.67,2.28,2.27,6.7,,,,,,,
03/25/2016 0640,5.87,7.14,2.36,2.36,7.1,,,,,,,
03/25/2016 0740,5.87,7.14,2.51,2.51,7.1,,,,,,,
03/25/2016 0840,5.71,7.14,2.07,2.06,7.1,,,,,,,
03/25/2016 0940,6.12,7.14,2.51,2.51,7.1,,,,,,,
03/25/2016 1040,6.43,7.14,2.73,2.72,7.1,,,,,,,
03/25/2016 1140,6.31,7.69,2.48,2.48,7.7,,,,,,,
03/25/2016 1240,6.21,7.69,2.47,2.47,7.7,,,,,,,
03/25/2016 1340,6.19,7.69,2.44,2.44,7.7,,,,,,,
03/25/2016 1440,6.2,7.69,2.46,2.45,7.7,,,,,,,
03/25/2016 1540,6.14,7.69,2.38,2.38,7.7,,,,,,,
03/25/2016 1640,6.09,7.69,2.31,2.29,7.7,,,,,,,
03/25/2016 1740,6.06,7.69,2.36,2.32,7.7,,,,,,,
03/25/2016 1840,6.12,7.14,2.38,2.38,7.1,,,,,,,
03/25/2016 1940,5.96,7.14,2.22,2.2,7.1,,,,,,,
03/25/2016 2040,5.82,7.14,2.21,2.19,7.1,,,,,,,
03/25/2016 2140,5.79,6.25,2.22,2.22,6.2,,,,,,,
03/25/2016 2240,5.71,7.14,2.16,2.15,7.1,,,,,,,
03/25/2016 2340,5.54,6.67,2.07,2.06,6.7,,,,,,,
03/26/2016 0040,5.66,6.67,2,2,6.7,,,,,,,
03/26/2016 0140,5.75,7.69,2.08,2.08,7.7,,,,,,,
03/26/2016 0240,5.65,7.69,2,1.92,7.7,,,,,,,
03/26/2016 0340,5.7,7.69,2.15,2.15,7.7,,,,,,,
03/26/2016 0440,5.94,7.69,2.33,2.32,7.7,,,,,,,
03/26/2016 0540,6.08,7.69,2.49,2.49,7.7,,,,,,,
03/26/2016 0640,5.81,7.69,2.22,2.22,7.7,,,,,,,
03/26/2016 0740,5.87,7.69,2.36,2.36,7.7,,,,,,,
03/26/2016 0840,6.05,7.69,2.32,0.63,3.4,,,,,,,
03/26/2016 0940,5.94,7.69,2.11,0.56,3.8,,,,,,,
03/26/2016 1040,5.8,6.67,2.18,2.1,6.7,,,,,,,
03/26/2016 1140,5.91,7.69,2.21,1.5,4.5,,,,,,,
03/26/2016 1240,6.1,7.14,2.24,1.75,7.1,,,,,,,
03/26/2016 1340,5.99,7.69,2.08,1.35,5.6,,,,,,,
03/26/2016 1440,5.86,8.33,1.92,0.94,5,,,,,,,
03/26/2016 1540,5.91,7.69,2.02,0.62,4,,,,,,,
03/26/2016 1640,5.97,7.69,1.96,0.64,3.8,,,,,,,
