DateTime,AVGPD/A048W,DOMPD/A048W,WVHGT/A048W,WWHGT/A048W,WWPD/A048W,,,,,,,,
11/07/2018 0440,5.37,9.09,1.53,1.28,5,,,,,,,,
11/07/2018 0540,5.19,8.33,1.53,1.31,4.8,,,,,,,,
11/07/2018 0640,5.27,4.76,1.64,1.45,4.8,,,,,,,,
11/07/2018 0740,5.38,8.33,1.75,1.61,8.3,,,,,,,,
11/07/2018 0840,5.15,5,1.65,1.48,5,,,,,,,,
11/07/2018 0940,5.3,5.56,1.91,1.66,5.6,,,,,,,,
11/07/2018 1040,5.31,8.33,1.84,1.53,5.3,,,,,,,,
11/07/2018 1140,5.14,5.88,1.67,1.45,5.9,,,,,,,,
11/07/2018 1240,5.36,8.33,1.67,1.42,6.2,,,,,,,,
11/07/2018 1340,5.29,5.88,1.81,1.49,5.9,,,,,,,,
11/07/2018 1440,5.31,8.33,1.66,1.23,5,,,,,,,,
11/07/2018 1540,5.43,8.33,1.73,1.44,5.9,,,,,,,,
11/07/2018 1640,5.3,6.25,1.65,1.49,6.2,,,,,,,,
11/07/2018 1740,5.29,7.69,1.62,1.34,6.2,,,,,,,,
11/07/2018 1840,5.18,6.67,1.61,1.39,6.7,,,,,,,,
11/07/2018 1940,5.23,7.14,1.63,1.14,5.6,,,,,,,,
11/07/2018 2040,5.35,8.33,1.63,0.67,3.7,,,,,,,,
11/07/2018 2140,5.7,7.14,1.53,0.46,4,,,,,,,,
11/07/2018 2240,5.87,7.69,1.52,0.43,4,,,,,,,,
11/07/2018 2340,5.8,7.14,1.39,0.41,3.3,,,,,,,,
11/08/2018 0040,5.96,7.69,1.56,0.43,4,,,,,,,,
11/08/2018 0140,5.9,7.69,1.55,0.42,3.6,,,,,,,,
11/08/2018 0240,5.94,7.14,1.49,0.41,4,,,,,,,,
11/08/2018 0340,5.68,6.67,1.43,0.41,4,,,,,,,,
11/08/2018 0440,5.9,8.33,1.53,0.42,4,,,,,,,,
11/08/2018 0540,5.57,6.67,1.29,0.42,3.8,,,,,,,,
11/08/2018 0640,5.82,6.67,1.43,0.41,4,,,,,,,,
11/08/2018 0740,5.93,7.14,1.4,0.36,4,,,,,,,,
11/08/2018 0840,5.81,7.69,1.26,0.37,3.4,,,,,,,,
11/08/2018 0940,5.93,8.33,1.35,0.59,5,,,,,,,,
11/08/2018 1040,5.85,10,1.31,0.51,4.5,,,,,,,,
11/08/2018 1140,6.04,9.09,1.3,0.72,5.3,,,,,,,,
11/08/2018 1240,5.79,9.09,1.21,0.77,5.6,,,,,,,,
11/08/2018 1340,5.61,10,1.28,0.91,5.6,,,,,,,,
11/08/2018 1440,5.48,9.09,1.43,0.93,6.2,,,,,,,,
