DateTime,WSPD1/A001E,WSPD11/A001E,WSPD12/A001E,WDIR1/A001E,,,,,,
03/12/2016 0320,6.9,7.7,8.37,34,,,,,,
03/12/2016 0330,6.9,7.7,8.37,38,,,,,,
03/12/2016 0340,6.9,7.7,8.37,39,,,,,,
03/12/2016 0350,7.3,8.15,8.86,38,,,,,,
03/12/2016 0400,7.4,8.26,8.98,39,,,,,,
03/12/2016 0410,7.6,8.48,9.22,43,,,,,,
03/12/2016 0420,7.8,8.71,9.46,42,,,,,,
03/12/2016 0430,7.9,8.82,9.58,43,,,,,,
03/12/2016 0440,8,8.93,9.7,43,,,,,,
03/12/2016 0450,8,8.93,9.7,40,,,,,,
03/12/2016 0500,8.1,9.04,9.83,43,,,,,,
03/12/2016 0510,8.2,9.15,9.95,43,,,,,,
03/12/2016 0520,8,8.93,9.7,45,,,,,,
03/12/2016 0530,7.9,8.82,9.58,48,,,,,,
03/12/2016 0540,7.8,8.71,9.46,47,,,,,,
03/12/2016 0550,7.9,8.82,9.58,52,,,,,,
03/12/2016 0600,7.9,8.82,9.58,47,,,,,,
03/12/2016 0610,8.2,9.15,9.95,49,,,,,,
03/12/2016 0620,8,8.93,9.7,49,,,,,,
03/12/2016 0630,8,8.93,9.7,55,,,,,,
03/12/2016 0640,7.7,8.59,9.34,62,,,,,,
03/12/2016 0650,7.7,8.59,9.34,61,,,,,,
03/12/2016 0700,7.9,8.82,9.58,59,,,,,,
03/12/2016 0710,7.9,8.82,9.58,61,,,,,,
03/12/2016 0720,7.7,8.59,9.34,59,,,,,,
03/12/2016 0730,8.1,9.04,9.83,65,,,,,,
03/12/2016 0740,8,8.93,9.7,70,,,,,,
03/12/2016 0750,7.6,8.48,9.22,66,,,,,,
03/12/2016 0800,7.6,8.48,9.22,70,,,,,,
03/12/2016 0810,7.6,8.48,9.22,70,,,,,,
03/12/2016 0820,7.5,8.37,9.1,70,,,,,,
03/12/2016 0830,7.6,8.48,9.22,65,,,,,,
03/12/2016 0840,7.6,8.48,9.22,62,,,,,,
03/12/2016 0850,7.7,8.59,9.34,65,,,,,,
03/12/2016 0900,7.7,8.59,9.34,70,,,,,,
03/12/2016 0910,8.1,9.04,9.83,66,,,,,,
03/12/2016 0920,7.6,8.48,9.22,67,,,,,,
03/12/2016 0930,7.4,8.26,8.98,66,,,,,,
03/12/2016 0940,7.4,8.26,8.98,65,,,,,,
03/12/2016 0950,7.2,8.04,8.73,66,,,,,,
03/12/2016 1000,6.9,7.7,8.37,68,,,,,,
03/12/2016 1010,7.1,7.93,8.61,67,,,,,,
03/12/2016 1020,7,7.81,8.49,68,,,,,,
03/12/2016 1030,6.5,7.26,7.88,77,,,,,,
03/12/2016 1040,6.2,6.92,7.52,75,,,,,,
03/12/2016 1050,6.6,7.37,8.01,77,,,,,,
03/12/2016 1100,6.4,7.14,7.76,80,,,,,,
03/12/2016 1110,6.6,7.37,8.01,85,,,,,,
03/12/2016 1120,6.6,7.37,8.01,89,,,,,,
03/12/2016 1130,6.4,7.14,7.76,85,,,,,,
03/12/2016 1140,6.4,7.14,7.76,84,,,,,,
03/12/2016 1150,6.4,7.14,7.76,83,,,,,,
03/12/2016 1200,6.5,7.26,7.88,85,,,,,,
03/12/2016 1210,6.3,7.03,7.64,84,,,,,,
03/12/2016 1220,6.4,7.14,7.76,86,,,,,,
03/12/2016 1230,6.3,7.03,7.64,84,,,,,,
03/12/2016 1240,6.1,6.81,7.4,86,,,,,,
03/12/2016 1250,5.7,6.36,6.91,84,,,,,,
03/12/2016 1300,5.7,6.36,6.91,82,,,,,,
03/12/2016 1310,5.4,6.03,6.55,89,,,,,,
03/12/2016 1320,5.3,5.92,6.43,88,,,,,,
03/12/2016 1330,5.7,6.36,6.91,82,,,,,,
03/12/2016 1340,5.8,6.47,7.04,89,,,,,,
03/12/2016 1350,5.6,6.25,6.79,89,,,,,,
03/12/2016 1400,5.7,6.36,6.91,100,,,,,,
03/12/2016 1410,6.2,6.92,7.52,97,,,,,,
03/12/2016 1420,6,6.7,7.28,96,,,,,,
03/12/2016 1430,5.7,6.36,6.91,100,,,,,,
03/12/2016 1440,5.4,6.03,6.55,109,,,,,,
03/12/2016 1450,5.2,5.8,6.31,110,,,,,,
03/12/2016 1500,5.3,5.92,6.43,104,,,,,,
03/12/2016 1510,5,5.58,6.07,108,,,,,,
03/12/2016 1520,4.9,5.47,5.94,112,,,,,,
03/12/2016 1530,5,5.58,6.07,117,,,,,,
03/12/2016 1540,5.3,5.92,6.43,117,,,,,,
03/12/2016 1550,5.5,6.14,6.67,119,,,,,,
03/12/2016 1600,5.4,6.03,6.55,115,,,,,,
03/12/2016 1610,5.1,5.69,6.19,111,,,,,,
03/12/2016 1620,5.3,5.92,6.43,110,,,,,,
03/12/2016 1630,5.1,5.69,6.19,109,,,,,,
03/12/2016 1640,5.2,5.8,6.31,122,,,,,,
03/12/2016 1650,4.9,5.47,5.94,114,,,,,,
03/12/2016 1700,4.7,5.25,5.7,113,,,,,,
03/12/2016 1710,5,5.58,6.07,111,,,,,,
03/12/2016 1720,5.2,5.8,6.31,109,,,,,,
03/12/2016 1730,5.1,5.69,6.19,113,,,,,,
03/12/2016 1740,5.2,5.8,6.31,109,,,,,,
03/12/2016 1750,5.1,5.69,6.19,112,,,,,,
03/12/2016 1800,5,5.58,6.07,118,,,,,,
03/12/2016 1810,4.8,5.36,5.82,124,,,,,,
03/12/2016 1820,4.8,5.36,5.82,124,,,,,,
03/12/2016 1830,5,5.58,6.07,126,,,,,,
03/12/2016 1840,5.1,5.69,6.19,124,,,,,,
03/12/2016 1850,4.8,5.36,5.82,133,,,,,,
03/12/2016 1900,4.8,5.36,5.82,136,,,,,,
03/12/2016 1910,4.9,5.47,5.94,136,,,,,,
03/12/2016 1920,4.8,5.36,5.82,137,,,,,,
03/12/2016 1930,4.8,5.36,5.82,138,,,,,,
03/12/2016 1940,4.5,5.02,5.46,146,,,,,,
03/12/2016 1950,4.6,5.13,5.58,154,,,,,,
03/12/2016 2000,4.8,5.36,5.82,160,,,,,,
03/12/2016 2010,5,5.58,6.07,162,,,,,,
03/12/2016 2020,5.5,6.14,6.67,167,,,,,,
03/12/2016 2030,5.3,5.92,6.43,168,,,,,,
03/12/2016 2040,5.6,6.25,6.79,167,,,,,,
03/12/2016 2050,5.7,6.36,6.91,170,,,,,,
03/12/2016 2100,5.6,6.25,6.79,170,,,,,,
03/12/2016 2110,5.4,6.03,6.55,168,,,,,,
03/12/2016 2120,5.6,6.25,6.79,173,,,,,,
03/12/2016 2130,5.5,6.14,6.67,171,,,,,,
03/12/2016 2140,5.4,6.03,6.55,169,,,,,,
03/12/2016 2150,5.6,6.25,6.79,165,,,,,,
03/12/2016 2200,5.2,5.8,6.31,172,,,,,,
