DateTime,WSPD1/A048E,WSPD11/A048E,WSPD12/A048E,WDIR1/A048E,,,,,,,,
08/20/2018 0200,4.4,4.78,5.07,231,,,,,,,,
08/20/2018 0210,4.6,5,5.3,230,,,,,,,,
08/20/2018 0220,4.3,4.67,4.95,241,,,,,,,,
08/20/2018 0230,4.3,4.67,4.95,249,,,,,,,,
08/20/2018 0240,4.3,4.67,4.95,247,,,,,,,,
08/20/2018 0250,4.2,4.56,4.83,242,,,,,,,,
08/20/2018 0300,4.1,4.45,4.72,243,,,,,,,,
08/20/2018 0310,4.1,4.45,4.72,249,,,,,,,,
08/20/2018 0320,4.7,5.11,5.42,238,,,,,,,,
08/20/2018 0330,4.6,5,5.3,241,,,,,,,,
08/20/2018 0340,4.5,4.89,5.18,245,,,,,,,,
08/20/2018 0350,4.5,4.89,5.18,246,,,,,,,,
08/20/2018 0400,4.2,4.56,4.83,247,,,,,,,,
08/20/2018 0410,4.5,4.89,5.18,251,,,,,,,,
08/20/2018 0420,4.6,5,5.3,252,,,,,,,,
08/20/2018 0430,4.5,4.89,5.18,251,,,,,,,,
08/20/2018 0440,4.1,4.45,4.72,247,,,,,,,,
08/20/2018 0450,4.3,4.67,4.95,240,,,,,,,,
08/20/2018 0500,4.3,4.67,4.95,238,,,,,,,,
08/20/2018 0510,4.2,4.56,4.83,233,,,,,,,,
08/20/2018 0520,4.1,4.45,4.72,241,,,,,,,,
08/20/2018 0530,4,4.34,4.6,238,,,,,,,,
08/20/2018 0540,4.4,4.78,5.07,241,,,,,,,,
08/20/2018 0550,4.7,5.11,5.42,235,,,,,,,,
08/20/2018 0600,4.3,4.67,4.95,248,,,,,,,,
08/20/2018 0610,4.2,4.56,4.83,240,,,,,,,,
08/20/2018 0620,3.7,4.01,4.25,240,,,,,,,,
08/20/2018 0630,4,4.34,4.6,230,,,,,,,,
08/20/2018 0640,4.2,4.56,4.83,235,,,,,,,,
08/20/2018 0650,4,4.34,4.6,230,,,,,,,,
08/20/2018 0700,3.8,4.12,4.36,231,,,,,,,,
08/20/2018 0710,4.3,4.67,4.95,233,,,,,,,,
08/20/2018 0720,4.4,4.78,5.07,233,,,,,,,,
08/20/2018 0730,4.3,4.67,4.95,231,,,,,,,,
08/20/2018 0740,4.5,4.89,5.18,225,,,,,,,,
08/20/2018 0750,4.2,4.56,4.83,229,,,,,,,,
08/20/2018 0800,3.9,4.23,4.48,223,,,,,,,,
08/20/2018 0810,4.1,4.45,4.72,227,,,,,,,,
08/20/2018 0820,4,4.34,4.6,235,,,,,,,,
08/20/2018 0830,3.7,4.01,4.25,234,,,,,,,,
08/20/2018 0840,3.4,3.68,3.9,226,,,,,,,,
08/20/2018 0850,3.7,4.01,4.25,229,,,,,,,,
08/20/2018 0900,3.3,3.57,3.78,237,,,,,,,,
08/20/2018 0910,3.2,3.46,3.66,246,,,,,,,,
08/20/2018 0920,3.3,3.57,3.78,237,,,,,,,,
08/20/2018 0930,3.3,3.57,3.78,230,,,,,,,,
08/20/2018 0940,3,3.24,3.43,234,,,,,,,,
08/20/2018 0950,2.8,3.03,3.2,235,,,,,,,,
08/20/2018 1000,2.5,2.7,2.85,231,,,,,,,,
08/20/2018 1010,2.6,2.81,2.97,229,,,,,,,,
08/20/2018 1020,2.6,2.81,2.97,225,,,,,,,,
08/20/2018 1030,2.5,2.7,2.85,219,,,,,,,,
08/20/2018 1040,2.8,3.03,3.2,213,,,,,,,,
08/20/2018 1050,3,3.24,3.43,216,,,,,,,,
08/20/2018 1100,3.1,3.35,3.55,215,,,,,,,,
08/20/2018 1110,3.2,3.46,3.66,223,,,,,,,,
08/20/2018 1120,3.4,3.68,3.9,222,,,,,,,,
08/20/2018 1130,3,3.24,3.43,224,,,,,,,,
08/20/2018 1140,3.3,3.57,3.78,222,,,,,,,,
08/20/2018 1150,3.3,3.57,3.78,235,,,,,,,,
08/20/2018 1200,3.1,3.35,3.55,235,,,,,,,,
