DateTime,WSPD1/A048E,WSPD11/A048E,WSPD12/A048E,WDIR1/A048E,,,,,,,,
11/02/2018 0340,6.3,6.87,7.31,187,,,,,,,,
11/02/2018 0350,7.1,7.76,8.26,176,,,,,,,,
11/02/2018 0400,6.7,7.32,7.78,189,,,,,,,,
11/02/2018 0410,6.3,6.87,7.31,187,,,,,,,,
11/02/2018 0420,6.9,7.54,8.02,179,,,,,,,,
11/02/2018 0430,7,7.65,8.14,186,,,,,,,,
11/02/2018 0440,7,7.65,8.14,185,,,,,,,,
11/02/2018 0450,6.9,7.54,8.02,184,,,,,,,,
11/02/2018 0500,6.9,7.54,8.02,185,,,,,,,,
11/02/2018 0510,6.7,7.32,7.78,196,,,,,,,,
11/02/2018 0520,7.5,8.2,8.74,189,,,,,,,,
11/02/2018 0530,7.7,8.42,8.97,196,,,,,,,,
11/02/2018 0540,7.4,8.09,8.62,206,,,,,,,,
11/02/2018 0550,7.8,8.53,9.09,204,,,,,,,,
11/02/2018 0600,6.7,7.32,7.78,197,,,,,,,,
11/02/2018 0610,7.5,8.2,8.74,193,,,,,,,,
11/02/2018 0620,7.5,8.2,8.74,191,,,,,,,,
11/02/2018 0630,7.3,7.98,8.5,183,,,,,,,,
11/02/2018 0640,7,7.65,8.14,189,,,,,,,,
11/02/2018 0650,7.1,7.76,8.26,196,,,,,,,,
11/02/2018 0700,7,7.65,8.14,197,,,,,,,,
11/02/2018 0710,6.3,6.87,7.31,194,,,,,,,,
11/02/2018 0720,6.3,6.87,7.31,198,,,,,,,,
11/02/2018 0730,6.8,7.43,7.9,186,,,,,,,,
11/02/2018 0740,6.8,7.43,7.9,186,,,,,,,,
11/02/2018 0750,7,7.65,8.14,183,,,,,,,,
11/02/2018 0800,7.1,7.76,8.26,186,,,,,,,,
11/02/2018 0810,7.4,8.09,8.62,180,,,,,,,,
11/02/2018 0820,8.1,8.86,9.44,183,,,,,,,,
11/02/2018 0830,8.1,8.86,9.44,183,,,,,,,,
11/02/2018 0840,8.7,9.53,10.15,181,,,,,,,,
11/02/2018 0850,8.8,9.64,10.27,180,,,,,,,,
11/02/2018 0900,8.5,9.31,9.91,187,,,,,,,,
11/02/2018 0910,8.3,9.08,9.68,189,,,,,,,,
11/02/2018 0920,8.7,9.53,10.15,188,,,,,,,,
11/02/2018 0930,8.8,9.64,10.27,183,,,,,,,,
11/02/2018 0940,8.9,9.75,10.39,183,,,,,,,,
11/02/2018 0950,9.2,10.08,10.74,183,,,,,,,,
11/02/2018 1000,9.4,10.3,10.98,184,,,,,,,,
11/02/2018 1010,9.2,10.08,10.74,188,,,,,,,,
11/02/2018 1020,9.2,10.08,10.74,185,,,,,,,,
11/02/2018 1030,8.9,9.75,10.39,182,,,,,,,,
11/02/2018 1040,9.7,10.63,11.33,183,,,,,,,,
11/02/2018 1050,9.5,10.41,11.1,182,,,,,,,,
11/02/2018 1100,10,10.96,11.69,187,,,,,,,,
11/02/2018 1110,9.3,10.19,10.86,185,,,,,,,,
11/02/2018 1120,9.3,10.19,10.86,185,,,,,,,,
11/02/2018 1130,8.9,9.75,10.39,184,,,,,,,,
11/02/2018 1140,9.4,10.3,10.98,182,,,,,,,,
11/02/2018 1150,9.6,10.52,11.21,176,,,,,,,,
11/02/2018 1200,9.4,10.3,10.98,177,,,,,,,,
11/02/2018 1210,9.2,10.08,10.74,176,,,,,,,,
11/02/2018 1220,8.6,9.42,10.03,177,,,,,,,,
11/02/2018 1230,8.3,9.08,9.68,176,,,,,,,,
11/02/2018 1240,8.7,9.53,10.15,176,,,,,,,,
11/02/2018 1250,8.8,9.64,10.27,176,,,,,,,,
11/02/2018 1300,8.8,9.64,10.27,173,,,,,,,,
11/02/2018 1310,8.2,8.97,9.56,174,,,,,,,,
11/02/2018 1320,8.4,9.19,9.8,176,,,,,,,,
11/02/2018 1330,8.7,9.53,10.15,180,,,,,,,,
11/02/2018 1340,8.6,9.42,10.03,182,,,,,,,,
11/02/2018 1350,9.1,9.97,10.62,179,,,,,,,,
11/02/2018 1400,8.8,9.64,10.27,179,,,,,,,,
11/02/2018 1410,8.3,9.08,9.68,175,,,,,,,,
11/02/2018 1420,8.7,9.53,10.15,176,,,,,,,,
11/02/2018 1430,8.5,9.31,9.91,180,,,,,,,,
11/02/2018 1440,9.1,9.97,10.62,184,,,,,,,,
11/02/2018 1450,9,9.86,10.5,186,,,,,,,,
11/02/2018 1500,9.2,10.08,10.74,186,,,,,,,,
11/02/2018 1510,9.6,10.52,11.21,181,,,,,,,,
11/02/2018 1520,9.1,9.97,10.62,177,,,,,,,,
11/02/2018 1530,9.5,10.41,11.1,177,,,,,,,,
11/02/2018 1540,10,10.96,11.69,177,,,,,,,,
11/02/2018 1550,9.9,10.85,11.57,177,,,,,,,,
11/02/2018 1600,10.5,11.51,12.28,178,,,,,,,,
11/02/2018 1610,10.3,11.29,12.04,183,,,,,,,,
11/02/2018 1620,10.7,11.73,12.52,180,,,,,,,,
11/02/2018 1630,10.7,11.73,12.52,184,,,,,,,,
11/02/2018 1640,10.7,11.73,12.52,180,,,,,,,,
11/02/2018 1650,10.9,11.96,12.75,181,,,,,,,,
11/02/2018 1700,10.6,11.62,12.4,178,,,,,,,,
11/02/2018 1710,11,12.07,12.87,178,,,,,,,,
11/02/2018 1720,11.1,12.18,12.99,182,,,,,,,,
11/02/2018 1730,11,12.07,12.87,185,,,,,,,,
11/02/2018 1740,10.8,11.84,12.63,185,,,,,,,,
11/02/2018 1750,10.7,11.73,12.52,180,,,,,,,,
11/02/2018 1800,11.2,12.29,13.11,180,,,,,,,,
11/02/2018 1810,11,12.07,12.87,183,,,,,,,,
11/02/2018 1820,10.9,11.96,12.75,182,,,,,,,,
11/02/2018 1830,10.8,11.84,12.63,184,,,,,,,,
11/02/2018 1840,11.2,12.29,13.11,184,,,,,,,,
11/02/2018 1850,10.9,11.96,12.75,184,,,,,,,,
11/02/2018 1900,10.7,11.73,12.52,183,,,,,,,,
11/02/2018 1910,10.7,11.73,12.52,182,,,,,,,,
11/02/2018 1920,11.1,12.18,12.99,180,,,,,,,,
11/02/2018 1930,10.5,11.51,12.28,178,,,,,,,,
11/02/2018 1940,10.6,11.62,12.4,178,,,,,,,,
11/02/2018 1950,10.1,11.07,11.81,182,,,,,,,,
11/02/2018 2000,10.1,11.07,11.81,181,,,,,,,,
11/02/2018 2010,10.3,11.29,12.04,178,,,,,,,,
11/02/2018 2020,10.2,11.18,11.92,180,,,,,,,,
11/02/2018 2030,10.2,11.18,11.92,178,,,,,,,,
11/02/2018 2040,10.6,11.62,12.4,177,,,,,,,,
11/02/2018 2050,10.8,11.84,12.63,177,,,,,,,,
11/02/2018 2100,10.2,11.18,11.92,178,,,,,,,,
11/02/2018 2110,10.1,11.07,11.81,177,,,,,,,,
11/02/2018 2120,10.4,11.4,12.16,179,,,,,,,,
11/02/2018 2130,9.9,10.85,11.57,181,,,,,,,,
11/02/2018 2140,10.3,11.29,12.04,180,,,,,,,,
11/02/2018 2150,10.3,11.29,12.04,179,,,,,,,,
11/02/2018 2200,9.9,10.85,11.57,179,,,,,,,,
11/02/2018 2210,10.1,11.07,11.81,180,,,,,,,,
11/02/2018 2220,10.4,11.4,12.16,177,,,,,,,,
11/02/2018 2230,9.9,10.85,11.57,176,,,,,,,,
11/02/2018 2240,9.9,10.85,11.57,173,,,,,,,,
11/02/2018 2250,10.7,11.73,12.52,176,,,,,,,,
11/02/2018 2300,10.2,11.18,11.92,179,,,,,,,,
11/02/2018 2310,10.1,11.07,11.81,181,,,,,,,,
11/02/2018 2320,9.6,10.52,11.21,179,,,,,,,,
11/02/2018 2330,9.7,10.63,11.33,179,,,,,,,,
11/02/2018 2340,9.8,10.74,11.45,182,,,,,,,,
11/02/2018 2350,10.5,11.51,12.28,181,,,,,,,,
11/03/2018 0000,10,10.96,11.69,180,,,,,,,,
11/03/2018 0010,10.6,11.62,12.4,179,,,,,,,,
11/03/2018 0020,10.6,11.62,12.4,177,,,,,,,,
11/03/2018 0030,10.4,11.4,12.16,177,,,,,,,,
11/03/2018 0040,10.1,11.07,11.81,177,,,,,,,,
11/03/2018 0050,10.1,11.07,11.81,178,,,,,,,,
11/03/2018 0100,10.1,11.07,11.81,178,,,,,,,,
11/03/2018 0110,10.5,11.51,12.28,177,,,,,,,,
11/03/2018 0120,10.4,11.4,12.16,177,,,,,,,,
11/03/2018 0130,10.4,11.4,12.16,176,,,,,,,,
11/03/2018 0140,10.5,11.51,12.28,177,,,,,,,,
11/03/2018 0150,10.7,11.73,12.52,175,,,,,,,,
11/03/2018 0200,11,12.07,12.87,174,,,,,,,,
11/03/2018 0210,11,12.07,12.87,173,,,,,,,,
11/03/2018 0220,10.6,11.62,12.4,175,,,,,,,,
11/03/2018 0230,11,12.07,12.87,174,,,,,,,,
11/03/2018 0240,10.6,11.62,12.4,175,,,,,,,,
11/03/2018 0250,11.4,12.51,13.35,175,,,,,,,,
11/03/2018 0300,11.3,12.4,13.23,175,,,,,,,,
11/03/2018 0310,11.7,12.84,13.7,177,,,,,,,,
11/03/2018 0320,11.2,12.29,13.11,179,,,,,,,,
11/03/2018 0330,10.9,11.96,12.75,177,,,,,,,,
11/03/2018 0340,11.2,12.29,13.11,174,,,,,,,,
11/03/2018 0350,11.1,12.18,12.99,172,,,,,,,,
11/03/2018 0400,11.5,12.62,13.47,172,,,,,,,,
11/03/2018 0410,11.7,12.84,13.7,174,,,,,,,,
11/03/2018 0420,11.7,12.84,13.7,174,,,,,,,,
11/03/2018 0430,11.2,12.29,13.11,173,,,,,,,,
11/03/2018 0440,11.5,12.62,13.47,174,,,,,,,,
11/03/2018 0450,11.7,12.84,13.7,175,,,,,,,,
11/03/2018 0500,11.6,12.73,13.58,176,,,,,,,,
11/03/2018 0510,11.6,12.73,13.58,176,,,,,,,,
11/03/2018 0520,11.6,12.73,13.58,177,,,,,,,,
11/03/2018 0530,11.7,12.84,13.7,176,,,,,,,,
11/03/2018 0540,12.4,13.62,14.54,175,,,,,,,,
11/03/2018 0550,11.8,12.95,13.82,176,,,,,,,,
11/03/2018 0600,11.9,13.06,13.94,179,,,,,,,,
11/03/2018 0610,12.8,14.06,15.01,179,,,,,,,,
11/03/2018 0620,12.3,13.51,14.42,177,,,,,,,,
11/03/2018 0630,11.6,12.73,13.58,179,,,,,,,,
11/03/2018 0640,12.3,13.51,14.42,180,,,,,,,,
11/03/2018 0650,11.9,13.06,13.94,179,,,,,,,,
11/03/2018 0700,12.4,13.62,14.54,181,,,,,,,,
11/03/2018 0710,12.5,13.73,14.65,182,,,,,,,,
11/03/2018 0720,12.6,13.84,14.77,183,,,,,,,,
11/03/2018 0730,12.6,13.84,14.77,183,,,,,,,,
11/03/2018 0740,12.7,13.95,14.89,183,,,,,,,,
11/03/2018 0750,12.1,13.28,14.18,185,,,,,,,,
11/03/2018 0800,12.9,14.17,15.13,189,,,,,,,,
11/03/2018 0810,12.1,13.28,14.18,186,,,,,,,,
11/03/2018 0820,12.8,14.06,15.01,184,,,,,,,,
11/03/2018 0830,12.9,14.17,15.13,185,,,,,,,,
11/03/2018 0840,12.7,13.95,14.89,187,,,,,,,,
11/03/2018 0850,12.1,13.28,14.18,187,,,,,,,,
11/03/2018 0900,12.4,13.62,14.54,186,,,,,,,,
11/03/2018 0910,12.4,13.62,14.54,189,,,,,,,,
11/03/2018 0920,12.3,13.51,14.42,188,,,,,,,,
11/03/2018 0930,12.9,14.17,15.13,185,,,,,,,,
11/03/2018 0940,12.9,14.17,15.13,185,,,,,,,,
11/03/2018 0950,13,14.28,15.25,185,,,,,,,,
11/03/2018 1000,12.1,13.28,14.18,188,,,,,,,,
11/03/2018 1010,12.8,14.06,15.01,200,,,,,,,,
11/03/2018 1020,13.2,14.5,15.49,190,,,,,,,,
11/03/2018 1030,11.7,12.84,13.7,191,,,,,,,,
11/03/2018 1040,11.4,12.51,13.35,191,,,,,,,,
11/03/2018 1050,10.3,11.29,12.04,192,,,,,,,,
11/03/2018 1100,11.4,12.51,13.35,190,,,,,,,,
11/03/2018 1110,11.6,12.73,13.58,191,,,,,,,,
11/03/2018 1120,12.1,13.28,14.18,193,,,,,,,,
11/03/2018 1130,12.7,13.95,14.89,191,,,,,,,,
11/03/2018 1140,12.3,13.51,14.42,189,,,,,,,,
11/03/2018 1150,12.5,13.73,14.65,191,,,,,,,,
11/03/2018 1200,12.6,13.84,14.77,193,,,,,,,,
11/03/2018 1210,12.4,13.62,14.54,191,,,,,,,,
11/03/2018 1220,11.7,12.84,13.7,191,,,,,,,,
11/03/2018 1230,11.8,12.95,13.82,190,,,,,,,,
11/03/2018 1240,11.7,12.84,13.7,190,,,,,,,,
11/03/2018 1250,11.8,12.95,13.82,188,,,,,,,,
11/03/2018 1300,12.7,13.95,14.89,190,,,,,,,,
11/03/2018 1310,12.7,13.95,14.89,197,,,,,,,,
11/03/2018 1320,10.9,11.96,12.75,191,,,,,,,,
11/03/2018 1330,11,12.07,12.87,187,,,,,,,,
11/03/2018 1340,13.8,15.17,16.2,188,,,,,,,,
11/03/2018 1350,12.1,13.28,14.18,195,,,,,,,,
11/03/2018 1400,11.8,12.95,13.82,203,,,,,,,,
11/03/2018 1410,11.5,12.62,13.47,199,,,,,,,,
11/03/2018 1420,11.5,12.62,13.47,195,,,,,,,,
11/03/2018 1430,12,13.17,14.06,191,,,,,,,,
11/03/2018 1440,11.9,13.06,13.94,191,,,,,,,,
11/03/2018 1450,12.7,13.95,14.89,198,,,,,,,,
11/03/2018 1500,11.2,12.29,13.11,198,,,,,,,,
11/03/2018 1510,12,13.17,14.06,198,,,,,,,,
11/03/2018 1520,12,13.17,14.06,203,,,,,,,,
11/03/2018 1530,11.8,12.95,13.82,205,,,,,,,,
11/03/2018 1540,12.2,13.39,14.3,202,,,,,,,,
11/03/2018 1550,11.6,12.73,13.58,205,,,,,,,,
11/03/2018 1600,12.7,13.95,14.89,201,,,,,,,,
11/03/2018 1610,12.3,13.51,14.42,200,,,,,,,,
11/03/2018 1620,12.1,13.28,14.18,200,,,,,,,,
11/03/2018 1630,11.2,12.29,13.11,200,,,,,,,,
11/03/2018 1640,10.9,11.96,12.75,204,,,,,,,,
11/03/2018 1650,12.1,13.28,14.18,203,,,,,,,,
11/03/2018 1700,11.9,13.06,13.94,203,,,,,,,,
11/03/2018 1710,11.3,12.4,13.23,204,,,,,,,,
11/03/2018 1720,11.3,12.4,13.23,205,,,,,,,,
11/03/2018 1730,11,12.07,12.87,207,,,,,,,,
11/03/2018 1740,10.9,11.96,12.75,207,,,,,,,,
11/03/2018 1750,10.6,11.62,12.4,207,,,,,,,,
11/03/2018 1800,10.6,11.62,12.4,205,,,,,,,,
11/03/2018 1810,10.6,11.62,12.4,208,,,,,,,,
11/03/2018 1820,10.5,11.51,12.28,208,,,,,,,,
11/03/2018 1830,10.8,11.84,12.63,209,,,,,,,,
11/03/2018 1840,10.7,11.73,12.52,208,,,,,,,,
11/03/2018 1850,10.5,11.51,12.28,209,,,,,,,,
11/03/2018 1900,10.3,11.29,12.04,208,,,,,,,,
11/03/2018 1910,10.3,11.29,12.04,205,,,,,,,,
11/03/2018 1920,10,10.96,11.69,205,,,,,,,,
11/03/2018 1930,9.9,10.85,11.57,205,,,,,,,,
11/03/2018 1940,9.9,10.85,11.57,208,,,,,,,,
11/03/2018 1950,9.9,10.85,11.57,210,,,,,,,,
11/03/2018 2000,10.1,11.07,11.81,207,,,,,,,,
11/03/2018 2010,10.3,11.29,12.04,206,,,,,,,,
11/03/2018 2020,10.1,11.07,11.81,204,,,,,,,,
11/03/2018 2030,10.5,11.51,12.28,205,,,,,,,,
11/03/2018 2040,10.3,11.29,12.04,205,,,,,,,,
11/03/2018 2050,10.5,11.51,12.28,204,,,,,,,,
11/03/2018 2100,10,10.96,11.69,204,,,,,,,,
11/03/2018 2110,9.4,10.3,10.98,206,,,,,,,,
11/03/2018 2120,9,9.86,10.5,204,,,,,,,,
11/03/2018 2130,8.9,9.75,10.39,205,,,,,,,,
11/03/2018 2140,8.9,9.75,10.39,209,,,,,,,,
11/03/2018 2150,8.9,9.75,10.39,209,,,,,,,,
11/03/2018 2200,9.3,10.19,10.86,208,,,,,,,,
11/03/2018 2210,9.1,9.97,10.62,204,,,,,,,,
11/03/2018 2220,9.4,10.3,10.98,205,,,,,,,,
11/03/2018 2230,8.9,9.75,10.39,208,,,,,,,,
11/03/2018 2240,8.9,9.75,10.39,210,,,,,,,,
11/03/2018 2250,9.2,10.08,10.74,213,,,,,,,,
11/03/2018 2300,10,10.96,11.69,253,,,,,,,,
11/03/2018 2310,9.6,10.52,11.21,259,,,,,,,,
11/03/2018 2320,8.5,9.31,9.91,238,,,,,,,,
11/03/2018 2330,7.5,8.2,8.74,234,,,,,,,,
11/03/2018 2340,8.1,8.86,9.44,300,,,,,,,,
11/03/2018 2350,6.8,7.43,7.9,332,,,,,,,,
11/04/2018 0000,7.3,7.98,8.5,338,,,,,,,,
11/04/2018 0010,6.7,7.32,7.78,345,,,,,,,,
11/04/2018 0020,5.7,6.21,6.6,356,,,,,,,,
